,index,Repo,commit_message,time,churn,insertions,deletions,files_changed
5424,24809,csc216-002-P3-012,b'checkStyle',1480565423,3,4,2,3
5425,24810,csc216-002-P3-012,b'update ',1480565059,3,13,26,3
5426,24811,csc216-002-P3-012,b'update',1480543216,3,5,7,3
5427,24812,csc216-002-P3-012,b'update',1480542502,1,1,1,1
5428,24813,csc216-002-P3-012,b'try to fix update',1480541985,2,5,19,2
5429,24814,csc216-002-P3-012,b'Added potential sorting method for addTask',1480559167,1,1,22,1
5430,24815,csc216-002-P3-012,b'3 failures',1480536776,2,6,5,2
5431,24816,csc216-002-P3-012,b'todoList',1480536616,1,4,5,1
5432,24817,csc216-002-P3-012,b'update',1480536422,1,1,1,1
5433,24818,csc216-002-P3-012,b'todoList',1480536286,1,0,2,1
5434,24819,csc216-002-P3-012,b'task List',1480535825,1,9,9,1
5435,24820,csc216-002-P3-012,b'update',1480535647,1,10,3,1
5436,24821,csc216-002-P3-012,b'test',1480535487,1,13,9,1
5437,24822,csc216-002-P3-012,b'test',1480535305,2,21,22,2
5438,24823,csc216-002-P3-012,b'test',1480533949,3,0,28,3
5439,24824,csc216-002-P3-012,b'Reintroduced test methods for linked list',1480545830,1,31,28,1
5440,24825,csc216-002-P3-012,b'Should fix problem with double adding to end of emtpy list',1480545682,2,28,32,2
5441,24826,csc216-002-P3-012,b'Reverted previous change',1480545413,1,2,5,1
5442,24827,csc216-002-P3-012,b'Hopefully fixes adding to end of emtpy list bug in LinkedList add',1480545294,1,3,1,1
5443,24828,csc216-002-P3-012,b'Should fix case of adding to end of emtpy list making list size 2',1480545088,1,5,4,1
5444,24829,csc216-002-P3-012,b'added trivial solution for head being null to add(index object)',1480544638,1,0,3,1
5445,24830,csc216-002-P3-012,b'Added duplicate check to LinkedList add method',1480544496,1,0,7,1
5446,24831,csc216-002-P3-012,b'Added duplicate check to ArrayList add method',1480544147,1,0,5,1
5447,24832,csc216-002-P3-012,b'Changes instances of illegal argument to index out of bounds for\nadd/remove methods',1480543937,2,4,4,2
5448,24833,csc216-002-P3-012,b'Reverted changes on remove(index) in ArrayList',1480543794,1,1,1,1
5449,24834,csc216-002-P3-012,b'Working on index bounds for illegal argument test',1480543702,1,2,2,1
5450,24835,csc216-002-P3-012,b'Removed failing test in LinkedListTest',1480543511,1,4,0,1
5451,24836,csc216-002-P3-012,b'Attempted fix on ArrayList index testing',1480543362,2,0,11,2
5452,24837,csc216-002-P3-012,b'Quick fix to index range check on add',1480541774,1,1,1,1
5453,24838,csc216-002-P3-012,b'Expanded testing on add and index check for add',1480541459,2,9,21,2
5454,24839,csc216-002-P3-012,b'Added trivial case of adding to end of list to add(index object) and\nremoved it from instertAt()',1480540631,1,7,9,1
5455,24840,csc216-002-P3-012,b'Swapped two if statements in insertAt pertaining to being at the end of\nthe list',1480540254,1,3,3,1
5456,24841,csc216-002-P3-012,b'Fixed index bounds check on remove(int) method',1480538526,1,1,1,1
5457,24842,csc216-002-P3-012,b'Added end of list trivial solution to insertAt method',1480537613,1,3,9,1
5458,24843,csc216-002-P3-012,b'Added trivial answer solution to indexOf method',1480537373,1,0,3,1
5459,24844,csc216-002-P3-012,b'Reverted last two builds',1480536208,1,1,1,1
5460,24845,csc216-002-P3-012,b'Altered for loop within insertAt',1480535865,1,1,1,1
5461,24846,csc216-002-P3-012,b'Reverted previous build and reused some of its code on insertAt',1480535380,1,7,4,1
5462,24847,csc216-002-P3-012,b'Remodeled insertAt to better handle null pointer exceptions',1480535104,1,4,7,1
5463,24848,csc216-002-P3-012,b'Reverted previous build and modified duplicate check in add(object)',1480534138,1,5,5,1
5464,24849,csc216-002-P3-012,b'Moved null head check in front of duplicate check in add(object)',1480533971,1,4,4,1
5465,24850,csc216-002-P3-012,b'Added duplicate check to add(object) method',1480533623,1,11,11,1
5466,24851,csc216-002-P3-012,b'Added duplicate check to add(indexobject) method',1480533237,1,0,7,1
5467,24852,csc216-002-P3-012,b'added index check to get method',1480532980,1,0,3,1
5468,24853,csc216-002-P3-012,b'Added null check to non-indexed add method',1480532654,1,0,3,1
5469,24854,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480532366,3,11,12,3
5470,24855,csc216-002-P3-012,b'taskList failures',1480532284,3,11,12,3
5471,24856,csc216-002-P3-012,b'Added index out of bounds exception to remove method',1480532358,1,0,3,1
5472,24857,csc216-002-P3-012,b'test failures',1480530834,3,6,18,3
5473,24858,csc216-002-P3-012,b'fix a few test failures',1480530131,5,9,18,5
5474,24859,csc216-002-P3-012,b'fix a few test failures',1480529682,5,5,10,5
5475,24860,csc216-002-P3-012,b'test',1480529221,1,7,7,1
5476,24861,csc216-002-P3-012,b'fix some test failure\n',1480528901,2,3,5,2
5477,24862,csc216-002-P3-012,b'fix checkstyle and pmd\n',1480520407,2,9,5,2
5478,24863,csc216-002-P3-012,b'ts test\n',1480520136,2,11,32,2
5479,24864,csc216-002-P3-012,b'to do List',1480519297,1,0,159,1
5480,24865,csc216-002-P3-012,b'green ball',1480517512,2,2,2,2
5481,24866,csc216-002-P3-012,b'checkstyle and pmd\n',1480517420,7,18,19,7
5482,24867,csc216-002-P3-012,"bpanel don't know how to do""""""""panel don't know how to do""""panel don't know how to do""",1480517056,1,20,36,1
5483,24868,csc216-002-P3-012,b'Not finished yet. I would do it on tomorrow',1480479553,1,19,69,1
5484,24869,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480478987,6,67,9,6
5485,24870,csc216-002-P3-012,b'Removed redundant update test in ArrayListTest and CategoryListTest as\nwell as multiple redundant auto-generated tests in ArrayListTest',1480475061,3,61,0,3
5486,24871,csc216-002-P3-012,b'Implemented Serializable in ArrayList and LinkedList',1480474797,2,4,5,2
5487,24872,csc216-002-P3-012,b'Fixed Observer issue as well as implemented getNextTaskNum',1480474679,1,2,4,1
5488,24873,csc216-002-P3-012,b'taskEditpanel',1480474961,4,407,46,4
5489,24874,csc216-002-P3-012,b'Working on observer for addTask in TaskList',1480474440,1,0,3,1
5490,24875,csc216-002-P3-012,b'Completed CategoryList and accompanying test',1480474223,3,27,43,3
5491,24876,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480473386,4,34,83,4
5492,24877,csc216-002-P3-012,b'panel model and todolist',1480471767,3,11,11,3
5493,24878,csc216-002-P3-012,b'TaskList panel',1480470699,1,15,38,1
5494,24879,csc216-002-P3-012,b'taskTable',1480470171,3,18,44,3
5495,24880,csc216-002-P3-012,b'TaskList fully implemented and tested',1480473370,3,68,90,3
5496,24881,csc216-002-P3-012,b'Finishing touches on LinkedList/LinkedListTest and implementation of\nTaskList.java',1480469911,3,47,73,3
5497,24882,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480467868,1,10,27,1
5498,24883,csc216-002-P3-012,b'to do list',1480467318,1,10,27,1
5499,24884,csc216-002-P3-012,b'Remove method tested and working',1480467797,2,33,44,2
5500,24885,csc216-002-P3-012,b'taskList',1480464640,2,14,13,2
5501,24886,csc216-002-P3-012,b'todoList ',1480463989,3,33,34,3
5502,24887,csc216-002-P3-012,b'Continued work on CategoryListTest current issue with indexOf method\nhopefully addressed in next commit',1480456391,1,28,23,1
5503,24888,csc216-002-P3-012,b'Reached coverage goal on TaskTest.java',1480454228,1,118,49,1
5504,24889,csc216-002-P3-012,b'More work on LinkedList + test as well as 88% coverage Category Test',1480453327,3,75,85,3
5505,24890,csc216-002-P3-012,b'Continued work on LinkedList',1480447860,2,8,30,2
5506,24891,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480446324,1,9,54,1
5507,24892,csc216-002-P3-012,b'rewrite the arrayList test',1480444184,1,9,54,1
5508,24893,csc216-002-P3-012,b'Workng on implementing LinkedList',1480446236,1,7,37,1
5509,24894,csc216-002-P3-012,b'Fixed casting bug in TaskList added correct UID to Node subclass',1480443058,2,2,2,2
5510,24895,csc216-002-P3-012,b'Added casting in CategoryList to fix issues for testing',1480442664,1,6,6,1
5511,24896,csc216-002-P3-012,b'Fixed parameterization issue on ArrayList.java',1480442324,1,1,1,1
5512,24897,csc216-002-P3-012,b'Added ArrayListTest at 100% coverage. Previously completed but unable to\npush due to GitHub conflicts',1480442287,1,56,46,1
5513,24898,csc216-002-P3-012,b'Reintroduced completed ArrayList class after GitHub conflicts',1480442132,1,37,88,1
5514,24899,csc216-002-P3-012,b'arrayList categoryList and linkedList',1480441190,3,121,90,3
5515,24900,csc216-002-P3-012,b'added maintainCapacity helper method moving on to class testing',1480440064,1,1,11,1
5516,24901,csc216-002-P3-012,b'Implemented all methods in ArrayList sans capacity increase code/helper\nmethod',1480439455,1,14,35,1
5517,24902,csc216-002-P3-012,b'add some methods',1480436861,41,5042,110,41
5518,24903,csc216-002-P3-012,b'category',1480394793,2,53,47,2
5519,24904,csc216-002-P3-012,b'Completed ArrayList utility class',1480291924,1,1,1,1
5520,24905,csc216-002-P3-012,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-012.git""",1480291826,14,146,257,14
5521,24906,csc216-002-P3-012,b'pmd',1479951931,1,1,2,1
5522,24907,csc216-002-P3-012,b'pmd',1479951848,9,4,46,9
5523,24908,csc216-002-P3-012,b'pmd',1479951309,10,41,88,10
5524,24909,csc216-002-P3-012,b'fix checkStyle',1479950794,0,0,0,0
5525,24910,csc216-002-P3-012,b'fix checkStyle',1479950793,3,65,65,3
5526,24911,csc216-002-P3-012,b'checkStyle fixed',1479950523,5,21,24,5
5527,24912,csc216-002-P3-012,b'fix compile error',1479949931,2,7,4,2
5528,24913,csc216-002-P3-012,b'fix some compile errors',1479949640,4,5,10,4
5529,24914,csc216-002-P3-012,b'fix some compile errors',1479949346,3,12,28,3
5530,24915,csc216-002-P3-012,b'Completed ArrayList utility class',1480291786,1,15,53,1
5531,24916,csc216-002-P3-012,b'Project3',1479947013,36,1,4800,36
5532,24917,csc216-002-P3-012,b'rename',1479928909,1,1,1,1
5533,24918,csc216-002-P3-012,b'yellow ',1479925077,9,142,312,9
5534,24919,csc216-002-P3-012,b'yellow ball',1479922378,3,34,36,3
5535,24920,csc216-002-P3-012,b'Yellow ball',1479825552,11,71,19,11
5536,24921,csc216-002-P3-012,b'Adding tests',1479824953,10,0,1130,10
5537,24922,csc216-002-P3-012,b'Try to get a yellow ball',1479824464,5,153,148,5
5538,24923,csc216-002-P3-012,b'Added full javadoc to TaskListPane TaskTableModel and TaskEditPane',1479632445,3,11,219,3
5539,24924,csc216-002-P3-012,b'All javadoc done for model package',1479630908,4,58,273,4
5540,24925,csc216-002-P3-012,b'Completed the skeleton of all classes with no errors javadoc is\nincomplete so far but will be fixed in next commit.',1479627851,17,247,2099,17
5541,24926,csc216-002-P3-012,b'layout',1479428142,4,78,122,4
5542,24927,csc216-002-P3-012,b'Contact me asap My email is yzhan101@ncsu.edu',1479410257,4,1,229,4
5543,24928,csc216-002-P3-012,b'layout',1479329609,16,6,237,16
5544,24929,csc216-002-P3-012,b'Contact me as soon as possible!!!',1479327003,13,0,870,13
5545,24931,csc216-002-P3-013,b'Fixed absolute pathname and moved test file to test folder',1480723081,6,2,2,6
5546,24932,csc216-002-P3-013,b'Removed unsused file',1480722616,1,0,0,1
5547,24933,csc216-002-P3-013,b'Fixed remaining check style error ',1480722109,1,1,1,1
5548,24934,csc216-002-P3-013,b'Fixed PMD and checkstyle errors and generated javadoc',1480721996,78,4,17647,78
5549,24935,csc216-002-P3-013,b'Added test files and black box testing file',1480721508,11,31,19,11
5550,24936,csc216-002-P3-013,b'Fixed editing details',1480717369,1,1,37,1
5551,24937,csc216-002-P3-013,b'Fixed checkstyle and PMD',1480695918,1,1,0,1
5552,24938,csc216-002-P3-013,b'Fixed empty title field',1480695062,1,1,4,1
5553,24939,csc216-002-P3-013,b'Fixed the GUI',1480692041,4,4,16,4
5554,24940,csc216-002-P3-013,b'Fixed ordering of GUI componenets',1480688400,4,41,13,4
5555,24941,csc216-002-P3-013,b'Added some more GUI fixes',1480687650,6,29,59,6
5556,24942,csc216-002-P3-013,b'Trying to fix test error',1480656590,1,5,5,1
5557,24943,csc216-002-P3-013,b'Checkstyle errors',1480656005,2,2,2,2
5558,24944,csc216-002-P3-013,b'Fixed an error with the gui where it put things in wrong spot',1480655868,4,22,22,4
5559,24945,csc216-002-P3-013,b'Fixed some more GUI things',1480651373,1,2,6,1
5560,24946,csc216-002-P3-013,b'Fixed some GUI stuff',1480650540,1,3,34,1
5561,24947,csc216-002-P3-013,b'Fixed PMD and Checkstyle errors',1480648290,12,20,66,12
5562,24948,csc216-002-P3-013,b'Adding more implementation of GUI',1480646042,2,20,57,2
5563,24949,csc216-002-P3-013,b'Added more GUI implementation',1480619297,1,26,49,1
5564,24950,csc216-002-P3-013,b'Implementing more GUI fields',1480614267,1,33,82,1
5565,24951,csc216-002-P3-013,b'Override equals method',1480610526,2,5,14,2
5566,24952,csc216-002-P3-013,b'Fixing TS Cases',1480609488,1,1,1,1
5567,24953,csc216-002-P3-013,b'Try fixing new TS errors',1480609398,1,1,0,1
5568,24954,csc216-002-P3-013,b'Implementing more GUI features',1480609240,4,28,32,4
5569,24955,csc216-002-P3-013,b'Added some GUI implementation',1480565213,4,27,132,4
5570,24956,csc216-002-P3-013,b'Fixing add task list',1480532006,1,4,4,1
5571,24957,csc216-002-P3-013,b'Try stopping back null',1480531667,2,3,3,2
5572,24958,csc216-002-P3-013,b'Try fixing add Task List',1480531327,1,4,1,1
5573,24959,csc216-002-P3-013,b'Check if front is null to begin',1480530898,1,1,8,1
5574,24960,csc216-002-P3-013,b'Fixed to do list remove',1480530782,2,2,2,2
5575,24961,csc216-002-P3-013,b'Fixed remove in to do list',1480530559,3,2,1,3
5576,24962,csc216-002-P3-013,b'Added checks for null',1480529740,3,0,14,3
5577,24963,csc216-002-P3-013,b'Checking for null tasklist',1480528993,2,0,3,2
5578,24964,csc216-002-P3-013,b'Fixed shifting in remove',1480528558,3,1,2,3
5579,24965,csc216-002-P3-013,b'Shifted tasks when removing',1480528388,3,0,4,3
5580,24966,csc216-002-P3-013,b'Change update method',1480528094,1,4,4,1
5581,24967,csc216-002-P3-013,b'Change when to add to do list',1480527447,2,4,6,2
5582,24968,csc216-002-P3-013,b'Fix remove observer in to do list',1480527348,1,1,1,1
5583,24969,csc216-002-P3-013,b'adding and deleting observer fixes',1480527116,1,3,3,1
5584,24970,csc216-002-P3-013,b'Removed addingObservers in constructor',1480526380,2,2,2,2
5585,24971,csc216-002-P3-013,b'Implemented serializable and fixed open and save file in to do list',1480476205,8,61,69,8
5586,24972,csc216-002-P3-013,b'Notify observers of removed tasklists',1480446005,1,1,2,1
5587,24973,csc216-002-P3-013,b'Remove observer when removing a tasklist',1480445413,1,0,1,1
5588,24974,csc216-002-P3-013,b'Add observer to initial task list',1480445247,2,5,7,2
5589,24975,csc216-002-P3-013,b'Add observer to added tasklist',1480443384,2,0,11,2
5590,24976,csc216-002-P3-013,b'Adding setChanged to to do list',1480443037,1,0,4,1
5591,24977,csc216-002-P3-013,b'Making sure changed is working',1480442740,1,1,1,1
5592,24978,csc216-002-P3-013,b'Fixed test case',1480442541,1,2,2,1
5593,24979,csc216-002-P3-013,b'Fixed removecategory method',1480442495,2,3,15,2
5594,24980,csc216-002-P3-013,b'Notify observers of removed tasks',1480441558,1,13,2,1
5595,24981,csc216-002-P3-013,b'Remove add observer',1480441139,1,1,0,1
5596,24982,csc216-002-P3-013,b'Added more line coverage',1480440980,1,1,2,1
5597,24983,csc216-002-P3-013,b'Fixed tasklist addition in order',1480440802,2,14,21,2
5598,24984,csc216-002-P3-013,b'Trying to fix addTask in tasklist',1480440157,1,2,9,1
5599,24985,csc216-002-P3-013,b'Fixed naming of tasks in tasklist',1480438879,2,2,8,2
5600,24986,csc216-002-P3-013,b'Fixed readding to front of linkedlist',1480438527,2,1,10,2
5601,24987,csc216-002-P3-013,b'Fixed addition to front of list in task list',1480437901,1,1,1,1
5602,24988,csc216-002-P3-013,b'Fixed LinkedList to adding at certain indexes',1480437441,1,2,2,1
5603,24989,csc216-002-P3-013,b'Check for instanceof Category in category',1480436966,1,0,3,1
5604,24990,csc216-002-P3-013,b'Added exception for removing at index 0 in linkedlist',1480436522,2,5,12,2
5605,24991,csc216-002-P3-013,b'Added index out of bounds exception to remove in LinkedList',1480436039,1,0,3,1
5606,24992,csc216-002-P3-013,b'Added else statement to linkedlist',1480435878,1,7,8,1
5607,24993,csc216-002-P3-013,b'Added exception for empty LinkedList',1480435764,1,0,3,1
5608,24994,csc216-002-P3-013,b'Fixed LinkedList add',1480435551,2,0,8,2
5609,24995,csc216-002-P3-013,b'Check for instance of task in equals',1480435064,1,1,3,1
5610,24996,csc216-002-P3-013,b'Try to find what string is throwing error',1480434944,1,0,1,1
5611,24997,csc216-002-P3-013,b'Add observer to category list',1480434645,1,0,1,1
5612,24998,csc216-002-P3-013,b'Fixed test case',1480434422,1,1,1,1
5613,24999,csc216-002-P3-013,b'Adding observer to added task list',1480434162,1,0,1,1
5614,25000,csc216-002-P3-013,b'Calling setChanged in update method for ToDoList',1480433832,1,1,1,1
5615,25001,csc216-002-P3-013,b'Fixed ArrayList',1480433349,2,2,8,2
5616,25002,csc216-002-P3-013,b'Fixing more TS cases',1480432758,5,2,12,5
5617,25003,csc216-002-P3-013,b'Fixing some ToDoList TS cases regarding indexes',1480431881,1,2,5,1
5618,25004,csc216-002-P3-013,b'Added more coverage to arraylist',1480394497,1,0,1,1
5619,25005,csc216-002-P3-013,b'Added line coverage to source files',1480394348,8,30,92,8
5620,25006,csc216-002-P3-013,b'Removed bad test file',1480392482,1,0,0,1
5621,25007,csc216-002-P3-013,b'Removed array list import',1480392331,1,1,0,1
5622,25008,csc216-002-P3-013,b'Filled out majority of program back end',1480392160,12,111,625,12
5623,25009,csc216-002-P3-013,b'Fixed remaining checkstyle errors',1480104207,1,2,2,1
5624,25010,csc216-002-P3-013,b'Fixed more checkstyle errors',1480104103,5,5,10,5
5625,25011,csc216-002-P3-013,b'Fix checkstyle errors',1480103857,4,14,208,4
5626,25012,csc216-002-P3-013,b'Fixing more checkstyle errors',1480102838,8,26,46,8
5627,25013,csc216-002-P3-013,b'Added comments',1480102315,1,1,1,1
5628,25014,csc216-002-P3-013,b'Adding comments',1480102173,1,1,1,1
5629,25015,csc216-002-P3-013,b'Added comments',1480102141,3,2,197,3
5630,25016,csc216-002-P3-013,b'Added test file',1480047217,2,0,15,2
5631,25017,csc216-002-P3-013,b'Removed fake test file',1480046110,1,5,0,1
5632,25018,csc216-002-P3-013,b'Added test file',1480045696,1,0,5,1
5633,25019,csc216-002-P3-013,b'Added test folder',1480045555,1,0,1,1
5634,25020,csc216-002-P3-013,b'Fixing compiler errors',1480044945,5,9,242,5
5635,25021,csc216-002-P3-013,b'Compiling skeleton',1480018863,5,8,52,5
5636,25022,csc216-002-P3-013,b'Added more parts to skeleton',1479775064,9,24,366,9
5637,25023,csc216-002-P3-013,b'CategoryList and TodoList',1479688396,2,2,142,2
5638,25024,csc216-002-P3-013,b'Initial push',1479528377,24,0,2363,24
5639,25026,csc216-002-P3-014,b'Final Commit added BBTP with final updates',1480743716,1,0,0,1
5640,25027,csc216-002-P3-014,b'Remove current BBTP',1480742772,1,0,0,1
5641,25028,csc216-002-P3-014,b'Added JavaDoc',1480741415,100,26,22400,100
5642,25029,csc216-002-P3-014,b'Got most of the GUI working now ',1480740145,4,16,41,4
5643,25030,csc216-002-P3-014,b'Fixed Naming error on BBTP',1480733226,4,1,0,4
5644,25031,csc216-002-P3-014,b'Reverted back to what it was before',1480731589,3,9,9,3
5645,25032,csc216-002-P3-014,b'Fix issue in TaskTest',1480730673,2,6,6,2
5646,25033,csc216-002-P3-014,b'Added BBTP',1480730515,4,4,4,4
5647,25034,csc216-002-P3-014,b'Got the GUI to open but not fully functioning ',1480726216,1,15,12,1
5648,25035,csc216-002-P3-014,b'Possibly fixed remove error',1480724857,1,0,1,1
5649,25036,csc216-002-P3-014,b'Possibly fixed Category update in ToDoList',1480724552,1,3,2,1
5650,25037,csc216-002-P3-014,b'Trying to fix Update',1480722450,1,2,2,1
5651,25038,csc216-002-P3-014,b'Fixed NPE in remove TaskList',1480721288,2,4,6,2
5652,25039,csc216-002-P3-014,b'Possible fix to update methods in ToDoList',1480720938,2,0,2,2
5653,25040,csc216-002-P3-014,b'Fixed ToDoList remove method now hopefully',1480720603,2,6,4,2
5654,25041,csc216-002-P3-014,b'Removed unneeded fillFields() call in init()',1480720021,2,1,0,2
5655,25042,csc216-002-P3-014,b'Fix for update in ToDoList',1480718604,1,2,8,1
5656,25043,csc216-002-P3-014,b'Trying to fix remove method in ToDoList',1480718127,2,3,8,2
5657,25044,csc216-002-P3-014,b'Potential fix to TaskList',1480716434,1,10,7,1
5658,25045,csc216-002-P3-014,b'Fixed update issue in TaskList',1480711894,1,1,1,1
5659,25046,csc216-002-P3-014,b'Fixed CategoryList update issues',1480711673,2,2,4,2
5660,25047,csc216-002-P3-014,b'Fixed error on ToDoList had to repush it ',1480711036,1,1,1,1
5661,25048,csc216-002-P3-014,b'Trying to fix merge error ',1480710993,1,1,1,1
5662,25049,csc216-002-P3-014,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""",1480710772,1,4,5,1
5663,25050,csc216-002-P3-014,b'Possible fix to TaskList issues',1480710637,1,1,1,1
5664,25051,csc216-002-P3-014,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""",1480710602,3,1,3,3
5665,25052,csc216-002-P3-014,b'Possible fix to TaskList update issues',1480710581,1,4,5,1
5666,25053,csc216-002-P3-014,b'Fixed remove method on ToDoList',1480710760,1,1,1,1
5667,25054,csc216-002-P3-014,b'Fixed more tests on ToDoList',1480710433,3,1,3,3
5668,25055,csc216-002-P3-014,b'Fixed some methods in ToDoList',1480709801,4,4,4,4
5669,25056,csc216-002-P3-014,b'Please LET THIS FIX THE ADD METHOD',1480707649,2,2,2,2
5670,25057,csc216-002-P3-014,b'I think I fixed TaskList adding method now!!!',1480707330,3,5,4,3
5671,25058,csc216-002-P3-014,b'Fixed AddTask method in TaskList',1480706425,1,3,22,1
5672,25059,csc216-002-P3-014,b'Trying to fix update methods ',1480703770,2,5,9,2
5673,25060,csc216-002-P3-014,b'Still trying to fix update method in TaskList',1480702573,2,1,1,2
5674,25061,csc216-002-P3-014,b'Trying to fix TaskList',1480702280,3,8,10,3
5675,25062,csc216-002-P3-014,b'Checking to see if Update method is fixed for CategoryList',1480698160,1,1,1,1
5676,25063,csc216-002-P3-014,b'Fixed issue of notifying observers',1480697287,1,0,2,1
5677,25064,csc216-002-P3-014,b'Fixed exception being thrown in TaskList',1480696926,1,0,3,1
5678,25065,csc216-002-P3-014,b'Fixed some more issues',1480696173,2,1,5,2
5679,25066,csc216-002-P3-014,b'Potential fix to NPEs being thrown',1480694665,4,13,13,4
5680,25067,csc216-002-P3-014,b'Fixed issue in Category',1480694209,5,25,18,5
5681,25068,csc216-002-P3-014,b'Potential fix to Task Method setTitle',1480654288,2,0,1,2
5682,25069,csc216-002-P3-014,b'Fixed issue',1480653974,1,7,0,1
5683,25070,csc216-002-P3-014,b'Fixed ArrayList Constructor',1480653800,2,0,16,2
5684,25071,csc216-002-P3-014,b'Fixed issues in ArrayList and LinkedList',1480653521,4,12,60,4
5685,25072,csc216-002-P3-014,b'Got atleast 80% Test Coverage on everything!',1480650594,3,65,69,3
5686,25073,csc216-002-P3-014,b'Fixed EventListener need to implement Update on TaskEditPane',1480646993,1,0,14,1
5687,25074,csc216-002-P3-014,b'Implemented TaskEditPane only 2 more methods need to be finished',1480622344,2,52,72,2
5688,25075,csc216-002-P3-014,b'Trying to get 80% Coverage to see Staff Testing ',1480614263,2,7,14,2
5689,25076,csc216-002-P3-014,b'Added more tests to ToDoList trying to get 80% Coverage',1480613860,2,3,54,2
5690,25077,csc216-002-P3-014,b'Fixed Checkstyle and PMD warnings',1480605083,3,15,10,3
5691,25078,csc216-002-P3-014,b'Finished most of TaskEditPane',1480555786,1,8,34,1
5692,25079,csc216-002-P3-014,b'Still working on TaskEditPane',1480552986,1,8,92,1
5693,25080,csc216-002-P3-014,b'Started Working on the TaskEditPane',1480550987,1,0,44,1
5694,25081,csc216-002-P3-014,b'Started and finished most of ToDoList Testing ',1480459642,4,15,109,4
5695,25082,csc216-002-P3-014,b'Finished testing TaskList',1480456318,2,4,36,2
5696,25083,csc216-002-P3-014,b'Fixed some error on TaskList and added more tests to TaskListTest',1480450011,2,12,72,2
5697,25084,csc216-002-P3-014,b'Added more tests to TaskListTest',1480448290,1,6,68,1
5698,25085,csc216-002-P3-014,b'Started Testing TaskList',1480446700,1,1,5,1
5699,25086,csc216-002-P3-014,b'Finished implementing TaskListPane',1480446036,1,2,35,1
5700,25087,csc216-002-P3-014,b'Fixed Find Bug Error in Task Table Model',1480445180,1,2,3,1
5701,25088,csc216-002-P3-014,b'Trying to fix GitHub error',1480444860,1,1,1,1
5702,25089,csc216-002-P3-014,"bMerge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""""Merge branch 'master' of https://github.ncsu.edu/engr-csc216-fall2016/csc216-002-P3-014.git""",1480444771,5,10,82,5
5703,25090,csc216-002-P3-014,b'Fixed Checkstyle issue',1480443359,1,2,2,1
5704,25091,csc216-002-P3-014,b'Tested update method',1480443201,2,1,7,2
5705,25092,csc216-002-P3-014,b'Tested CategoryList',1480442922,2,6,70,2
5706,25093,csc216-002-P3-014,b'Fixed PMD issue',1480441921,2,3,5,2
5707,25094,csc216-002-P3-014,b'Finished TaskTableModel',1480444706,1,7,25,1
5708,25095,csc216-002-P3-014,b'Began testing CategoryList',1480436881,3,29,54,3
